Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Merge, [D], 500000, Sorted, -550
Quick, [D], 500000, Unsorted, -650
Quick, [D], 500000, Sorted, -550
Heap, [D], 500000, Unsorted, -550
Heap, [D], 500000, Sorted, -550
Shell, [D], 500000, Unsorted, 142443650
Shell, [D], 500000, Sorted, 19464350
Radix, [D], 500000, Unsorted, 272687250
Radix, [D], 500000, Sorted, 230505050
Selection, [Ljava.lang.String;], 500000, Unsorted, 150
Selection, [Ljava.lang.String;], 500000, Sorted, -550
Bubble, [Ljava.lang.String;], 500000, Unsorted, -250
Bubble, [Ljava.lang.String;], 500000, Sorted, -650
Insertion, [Ljava.lang.String;], 500000, Unsorted, -650
Insertion, [Ljava.lang.String;], 500000, Sorted, -650
Merge, [Ljava.lang.String;], 500000, Unsorted, -650
Merge, [Ljava.lang.String;], 500000, Sorted, -650
Quick, [Ljava.lang.String;], 500000, Unsorted, -550
Quick, [Ljava.lang.String;], 500000, Sorted, -650
Heap, [Ljava.lang.String;], 500000, Unsorted, -650
Heap, [Ljava.lang.String;], 500000, Sorted, -750
Shell, [Ljava.lang.String;], 500000, Unsorted, 4105684150
Shell, [Ljava.lang.String;], 500000, Sorted, 1316469850
Radix, [Ljava.lang.String;], 500000, Unsorted, 770291850
Radix, [Ljava.lang.String;], 500000, Sorted, 724115550
Selection, [I], 10, Unsorted, -150
Selection, [I], 10, Sorted, -550
Bubble, [I], 10, Unsorted, -550
Bubble, [I], 10, Sorted, -650
Insertion, [I], 10, Unsorted, -650
Insertion, [I], 10, Sorted, -750
Merge, [I], 10, Unsorted, -650
Merge, [I], 10, Sorted, -650
Quick, [I], 10, Unsorted, -750
Quick, [I], 10, Sorted, -650
Heap, [I], 10, Unsorted, -750
Heap, [I], 10, Sorted, -750
Shell, [I], 10, Unsorted, -150
Shell, [I], 10, Sorted, 250
Radix, [I], 10, Unsorted, 2350
Radix, [I], 10, Sorted, 1450
Selection, [D], 10, Unsorted, -50
Selection, [D], 10, Sorted, -550
Bubble, [D], 10, Unsorted, -650
Bubble, [D], 10, Sorted, -650
Insertion, [D], 10, Unsorted, -650
Insertion, [D], 10, Sorted, -750
Merge, [D], 10, Unsorted, -750
Merge, [D], 10, Sorted, -650
Quick, [D], 10, Unsorted, -750
Quick, [D], 10, Sorted, -750
Heap, [D], 10, Unsorted, 1550
Heap, [D], 10, Sorted, -750
Shell, [D], 10, Unsorted, -150
Shell, [D], 10, Sorted, 250
Radix, [D], 10, Unsorted, 9850
Radix, [D], 10, Sorted, 8250
Selection, [Ljava.lang.String;], 10, Unsorted, -250
Selection, [Ljava.lang.String;], 10, Sorted, -550
Bubble, [Ljava.lang.String;], 10, Unsorted, -650
Bubble, [Ljava.lang.String;], 10, Sorted, -650
Insertion, [Ljava.lang.String;], 10, Unsorted, -750
Insertion, [Ljava.lang.String;], 10, Sorted, -750
Merge, [Ljava.lang.String;], 10, Unsorted, -650
Merge, [Ljava.lang.String;], 10, Sorted, -650
Quick, [Ljava.lang.String;], 10, Unsorted, -550
Quick, [Ljava.lang.String;], 10, Sorted, -650
Heap, [Ljava.lang.String;], 10, Unsorted, -650
Heap, [Ljava.lang.String;], 10, Sorted, -750
Shell, [Ljava.lang.String;], 10, Unsorted, 4450
Shell, [Ljava.lang.String;], 10, Sorted, 2550
Radix, [Ljava.lang.String;], 10, Unsorted, 7450
Radix, [Ljava.lang.String;], 10, Sorted, 6850
Selection, [I], 100, Unsorted, -450
Selection, [I], 100, Sorted, -550
Bubble, [I], 100, Unsorted, -650
Bubble, [I], 100, Sorted, -650
Insertion, [I], 100, Unsorted, -750
Insertion, [I], 100, Sorted, -750
Merge, [I], 100, Unsorted, -750
Merge, [I], 100, Sorted, -750
Quick, [I], 100, Unsorted, -750
Quick, [I], 100, Sorted, -750
Heap, [I], 100, Unsorted, -750
Heap, [I], 100, Sorted, -750
Shell, [I], 100, Unsorted, 3350
Shell, [I], 100, Sorted, 950
Radix, [I], 100, Unsorted, 3550
Radix, [I], 100, Sorted, 4750
